iter,emax,log_compression,n_live
420,-0.14699411886397776,-0.008333333333333333,120
421,-0.1475658241515548,-0.008333333333333333,120
422,-0.14765835019309298,-0.008333333333333333,120
423,-0.14772864232372385,-0.008333333333333333,120
424,-0.14776439474807004,-0.008333333333333333,120
425,-0.1488227600031828,-0.008333333333333333,120
426,-0.1488912208086302,-0.008333333333333333,120
427,-0.14924172814933928,-0.008333333333333333,120
428,-0.14990577293661406,-0.008333333333333333,120
429,-0.15032050000092392,-0.008333333333333333,120
430,-0.15046686451070898,-0.008333333333333333,120
431,-0.15254789647007924,-0.008333333333333333,120
432,-0.15255401731645343,-0.008333333333333333,120
433,-0.15270256452670639,-0.008333333333333333,120
434,-0.15278613914610048,-0.008333333333333333,120
435,-0.15324158023853057,-0.008333333333333333,120
436,-0.1533361508143885,-0.008333333333333333,120
437,-0.15350412992498927,-0.008333333333333333,120
438,-0.15354541209804484,-0.008333333333333333,120
439,-0.1540797064576001,-0.008333333333333333,120
440,-0.15410663999149843,-0.008333333333333333,120
441,-0.15487816733148663,-0.008333333333333333,120
442,-0.15496972672732387,-0.008333333333333333,120
443,-0.15536363905452394,-0.008333333333333333,120
444,-0.15595723232508762,-0.008333333333333333,120
445,-0.1561390522188285,-0.008333333333333333,120
446,-0.1563126884238445,-0.008333333333333333,120
447,-0.15694184095616184,-0.008333333333333333,120
448,-0.1572439776924588,-0.008333333333333333,120
449,-0.15756069604017398,-0.008333333333333333,120
450,-0.15758915339752874,-0.008333333333333333,120
451,-0.1579513971808945,-0.008333333333333333,120
452,-0.15843239542864723,-0.008333333333333333,120
453,-0.1588573766299056,-0.008333333333333333,120
454,-0.1589489723242679,-0.008333333333333333,120
455,-0.15953958592062956,-0.008333333333333333,120
456,-0.15980506979695433,-0.008333333333333333,120
457,-0.16015376903214687,-0.008333333333333333,120
458,-0.16026208301916872,-0.008333333333333333,120
459,-0.1604908422003757,-0.008333333333333333,120
460,-0.16065023399753045,-0.008333333333333333,120
461,-0.16069856317563416,-0.008333333333333333,120
462,-0.16137299869006444,-0.008333333333333333,120
463,-0.16171462045703408,-0.008333333333333333,120
464,-0.16352314249966893,-0.008333333333333333,120
465,-0.16431744225382708,-0.008333333333333333,120
466,-0.16491303448011657,-0.008333333333333333,120
467,-0.16508433596707314,-0.008333333333333333,120
468,-0.16526868299341058,-0.008333333333333333,120
469,-0.16599356968365236,-0.008333333333333333,120
470,-0.16609094198150748,-0.008333333333333333,120
471,-0.16618996896347904,-0.008333333333333333,120
472,-0.166564372266522,-0.008333333333333333,120
473,-0.1668732272736049,-0.008333333333333333,120
474,-0.16690106401887123,-0.008333333333333333,120
475,-0.16752533816089624,-0.008333333333333333,120
476,-0.16766465261953295,-0.008333333333333333,120
477,-0.16867489575024802,-0.008333333333333333,120
478,-0.16955838985955551,-0.008333333333333333,120
479,-0.1697892861755286,-0.008333333333333333,120
480,-0.1701752352752738,-0.008333333333333333,120
481,-0.17053123355924832,-0.008333333333333333,120
482,-0.1725986196152279,-0.008333333333333333,120
483,-0.17313824666012717,-0.008333333333333333,120
484,-0.1734673615070083,-0.008333333333333333,120
485,-0.17358101705942067,-0.008333333333333333,120
486,-0.17359513762343023,-0.008333333333333333,120
487,-0.1737129393063864,-0.008333333333333333,120
488,-0.17394546574999994,-0.008333333333333333,120
489,-0.17421392725819576,-0.008333333333333333,120
490,-0.17446709353000284,-0.008333333333333333,120
491,-0.17466090720947197,-0.008333333333333333,120
492,-0.1749200245321444,-0.008333333333333333,120
493,-0.17516521297680548,-0.008333333333333333,120
494,-0.17525900668456523,-0.008333333333333333,120
495,-0.17571760287882418,-0.008333333333333333,120
496,-0.17672949910121066,-0.008333333333333333,120
497,-0.17689857911232604,-0.008333333333333333,120
498,-0.17738627659666378,-0.008333333333333333,120
499,-0.17759672257807524,-0.008333333333333333,120
500,-0.177600784957704,-0.008333333333333333,120
501,-0.17802012534081027,-0.008333333333333333,120
502,-0.1780348326989091,-0.008333333333333333,120
503,-0.17837850475392253,-0.008333333333333333,120
504,-0.1799953269282654,-0.008333333333333333,120
505,-0.18003423638970606,-0.008333333333333333,120
506,-0.18006557636667406,-0.008333333333333333,120
507,-0.1802818723007872,-0.008333333333333333,120
508,-0.18063403098603215,-0.008333333333333333,120
509,-0.18161116063349336,-0.008333333333333333,120
